time, color, angle
62328, 5, -50
62368, 12, -50
62408, 38, -50
62448, 65, 50
62489, 76, 50
62529, 78, 50
62570, 77, 50
62615, 76, 50
62655, 74, 50
62695, 64, 50
62736, 29, -50
62777, 9, -50
62818, 5, -50
62858, 5, -50
62899, 5, -50
62939, 16, -50
62980, 42, 50
63026, 58, 50
63066, 69, 50
63106, 69, 50
63152, 65, 50
63195, 53, 50
63236, 32, -50
63277, 16, -50
63325, 7, -50
63365, 6, -50
63405, 10, -50
63446, 22, -50
63486, 40, 0
63527, 53, 50
63567, 60, 50
63608, 63, 50
63649, 62, 50
63689, 49, 50
63729, 33, -50
63769, 23, -50
63810, 13, -50
63850, 6, -50
63895, 6, -50
63936, 21, -50
63976, 37, -50
64016, 52, 50
64057, 62, 50
64098, 69, 50
64139, 70, 50
64179, 70, 50
64220, 70, 50
